score,frequency,class
0.223044757,0.55056978,WT_Silent
0.225244862,0.54711137,WT_Silent
0.227444968,0.543609359,WT_Silent
0.229645073,0.540093822,WT_Silent
0.231845178,0.536525126,WT_Silent
0.234045284,0.532943816,WT_Silent
0.236245389,0.529298163,WT_Silent
0.238445495,0.525641441,WT_Silent
0.2406456,0.521908975,WT_Silent
0.242845705,0.518167928,WT_Silent
0.245045811,0.51431644,WT_Silent
0.247245916,0.510458308,WT_Silent
0.249446022,0.506489383,WT_Silent
0.251646127,0.502515534,WT_Silent
0.253846232,0.498436878,WT_Silent
0.256046338,0.49434948,WT_Silent
0.258246443,0.490159137,WT_Silent
0.260446549,0.485954731,WT_Silent
0.262646654,0.481650326,WT_Silent
0.264846759,0.477322636,WT_Silent
0.267046865,0.472879874,WT_Silent
0.26924697,0.46840981,WT_Silent
0.271447076,0.463839051,WT_Silent
0.273647181,0.459239536,WT_Silent
0.275847286,0.454557451,WT_Silent
0.278047392,0.449842686,WT_Silent
0.280247497,0.445052861,WT_Silent
0.282447603,0.440227051,WT_Silent
0.284647708,0.435333918,WT_Silent
0.286847813,0.43039674,WT_Silent
0.289047919,0.425391634,WT_Silent
0.291248024,0.420342912,WT_Silent
0.29344813,0.415238307,WT_Silent
0.295648235,0.41009723,WT_Silent
0.29784834,0.40491717,WT_Silent
0.300048446,0.399702207,WT_Silent
0.302248551,0.39445609,WT_Silent
0.304448656,0.389177837,WT_Silent
0.306648762,0.383875672,WT_Silent
0.308848867,0.378543405,WT_Silent
0.311048973,0.373192561,WT_Silent
0.313249078,0.367821063,WT_Silent
0.315449183,0.362439086,WT_Silent
0.317649289,0.357050058,WT_Silent
0.319849394,0.351658128,WT_Silent
0.3220495,0.34626845,WT_Silent
0.324249605,0.340879508,WT_Silent
0.32644971,0.335503467,WT_Silent
0.328649816,0.330130683,WT_Silent
0.330849921,0.324786586,WT_Silent
0.333050027,0.319447814,WT_Silent
0.335250132,0.31416523,WT_Silent
0.337450237,0.3088897,WT_Silent
0.339650343,0.303678963,WT_Silent
0.341850448,0.298472845,WT_Silent
0.344050554,0.293347613,WT_Silent
0.346250659,0.288226407,WT_Silent
0.348450764,0.283198635,WT_Silent
0.35065087,0.27817872,WT_Silent
0.352850975,0.273265668,WT_Silent
0.355051081,0.268370938,WT_Silent
0.357251186,0.263619303,WT_Silent
0.359451291,0.258890245,WT_Silent
0.361651397,0.254281045,WT_Silent
0.363851502,0.249702871,WT_Silent
0.366051608,0.245246117,WT_Silent
0.368251713,0.24082957,WT_Silent
