score,frequency,class
0.126356186,0.109265094,Common_Cancer_Missense
0.128598045,0.109271539,Common_Cancer_Missense
0.130839904,0.109293133,Common_Cancer_Missense
0.133081763,0.109318943,Common_Cancer_Missense
0.135323622,0.10936447,Common_Cancer_Missense
0.137565481,0.109417186,Common_Cancer_Missense
0.13980734,0.109495224,Common_Cancer_Missense
0.142049199,0.109579196,Common_Cancer_Missense
0.144291057,0.109679531,Common_Cancer_Missense
0.146532916,0.109787973,Common_Cancer_Missense
0.148774775,0.109914363,Common_Cancer_Missense
0.151016634,0.11005576,Common_Cancer_Missense
0.153258493,0.110224282,Common_Cancer_Missense
0.155500352,0.110403191,Common_Cancer_Missense
0.157742211,0.110597603,Common_Cancer_Missense
0.15998407,0.110803662,Common_Cancer_Missense
0.162225929,0.11102418,Common_Cancer_Missense
0.164467788,0.111269268,Common_Cancer_Missense
0.166709647,0.111539809,Common_Cancer_Missense
0.168951506,0.111825609,Common_Cancer_Missense
0.171193365,0.112124608,Common_Cancer_Missense
0.173435224,0.11243999,Common_Cancer_Missense
0.175677083,0.112767179,Common_Cancer_Missense
0.177918942,0.113124597,Common_Cancer_Missense
0.180160801,0.113500059,Common_Cancer_Missense
0.18240266,0.113898114,Common_Cancer_Missense
0.184644519,0.114307236,Common_Cancer_Missense
0.186886378,0.114737066,Common_Cancer_Missense
0.189128237,0.115175101,Common_Cancer_Missense
0.191370096,0.115646875,Common_Cancer_Missense
0.193611955,0.116129231,Common_Cancer_Missense
0.195853814,0.116641944,Common_Cancer_Missense
0.198095673,0.117161951,Common_Cancer_Missense
0.200337532,0.117706123,Common_Cancer_Missense
0.202579391,0.118254515,Common_Cancer_Missense
0.20482125,0.118837731,Common_Cancer_Missense
0.207063109,0.119424977,Common_Cancer_Missense
0.209304968,0.120050008,Common_Cancer_Missense
0.211546826,0.120677396,Common_Cancer_Missense
0.213788685,0.121331216,Common_Cancer_Missense
0.216030544,0.121986422,Common_Cancer_Missense
0.218272403,0.122673159,Common_Cancer_Missense
0.220514262,0.123363026,Common_Cancer_Missense
0.222756121,0.12409077,Common_Cancer_Missense
0.22499798,0.124821475,Common_Cancer_Missense
0.227239839,0.125573619,Common_Cancer_Missense
0.229481698,0.126330094,Common_Cancer_Missense
0.231723557,0.127108275,Common_Cancer_Missense
0.233965416,0.12789497,Common_Cancer_Missense
0.236207275,0.128713438,Common_Cancer_Missense
0.238449134,0.129537407,Common_Cancer_Missense
0.240690993,0.130377338,Common_Cancer_Missense
0.242932852,0.131223672,Common_Cancer_Missense
0.245174711,0.132084849,Common_Cancer_Missense
0.24741657,0.132958261,Common_Cancer_Missense
0.249658429,0.133854761,Common_Cancer_Missense
0.251900288,0.134758967,Common_Cancer_Missense
0.254142147,0.135675157,Common_Cancer_Missense
0.256384006,0.13659922,Common_Cancer_Missense
0.258625865,0.137533451,Common_Cancer_Missense
0.260867724,0.138480888,Common_Cancer_Missense
0.263109583,0.139442552,Common_Cancer_Missense
0.265351442,0.140414123,Common_Cancer_Missense
0.267593301,0.141394606,Common_Cancer_Missense
0.26983516,0.142383575,Common_Cancer_Missense
0.272077019,0.143378908,Common_Cancer_Missense
0.274318878,0.144386919,Common_Cancer_Missense
0.276560737,0.145402819,Common_Cancer_Missense
0.278802595,0.146430134,Common_Cancer_Missense
0.281044454,0.14746329,Common_Cancer_Missense
